¿Es página de negocio/servicio?,Servicio/Categoría a la que pertenece,Url,Keyword principal,Volumen,Keyword secundaria,Volumen secundarias,Comentarios,Enlace al documento,Metatítulo actual,Metadescripción actual,Metatítulo propuesto,Metadescripción propuesta,H1 Actual,Propuesta H1,Fecha de cambio,Tiempo de ejecución,Impacto esperado
FALSE,,https://proportione.com/,proportione,10,"consultora digital
consultora estrategia digital
consultora de innovación y estrategia digital","500
20
10","La estructura actual es esta:
<H2> Estrategia, tecnología y personas
<H2> ¿Qué ofrecemos?
<H2> Estrategia
<H2> Creación conjunta
<H2> ¿Por qué elegir Proportione?
<H3> ¿Por qué involucrar a las personas en la transformación digital?
<H4> Alineación estratégica
<H4> Adopción rápida
<H4> Mejora contínua
<H2> Involucrar a las personas en la transformación digital: el enfoque de Proportione
<H3> Suscríbete a nuestra newsletter

Propuesta de estructura en el documento enlazado en la columna de al lado",https://docs.google.com/document/d/1j2ToyzxEjUo0ZordPToTvEQK-Rytoq3y8eSEwuyxyTw/edit?usp=sharing,Proportione es estrategia de tecnología y personas,"Proportione estrategia de tecnología y personas. Comercio electrónico, inteligencia artificial, personas y organizaciones.",Proportione | Consultora de Estrategia Digital: Tecnología y Personas,"Transformamos organizaciones uniendo tecnología, IA y capital humano. Somos la consultora digital experta en estrategia, gestión del cambio y co-creación. ¿Hablamos?",N/A,Consultora de Estrategia Digital: Tecnología con foco en las Personas,,Alto,Alto
FALSE,,https://proportione.com/estrategia-tecnologia-y-personas/divina-proportione/,,,,,,,,,,,,,,Alto,Alto
FALSE,,https://proportione.com/consultoria-estrategica-crecimiento-organico/consultoria-de-tecnologia/,,,,,,,,,,,,,,Alto,Alto
FALSE,,https://proportione.com/estrategia-tecnologia-y-personas/arquitectura-modular-ecommerce-flexibilidad-rendimiento/,,,,,,,,,,,,,,Alto,Alto
FALSE,,https://proportione.com/estrategia-tecnologia-y-personas/programas-one-to-one-consultoria-estrategica/,,,,,,,,,,,,,,Alto,Alto
FALSE,,https://proportione.com/proportione-estrategia-transformacion-digital/,,,,,,,,,,,,,,Medio,Medio
FALSE,,https://proportione.com/estrategia-tecnologia-y-personas/resultados-clientes/,,,,,,,,,,,,,,Bajo,Bajo
FALSE,,https://proportione.com/consultoria-estrategica-crecimiento-organico/,,,,,,,,,,,,,,Bajo,Bajo
FALSE,,https://proportione.com/consultoria-estrategica-crecimiento-organico/estrategia-digital-el-secreto-del-crecimiento-organico-y-bello/,,,,,,,,,,,,,,Bajo,Medio
FALSE,,https://proportione.com/consultoria-estrategica-crecimiento-organico/consultoria-de-gestion-de-negocio-un-enfoque-estrategico/,,,,,,,,,,,,,,Bajo,Bajo
FALSE,,https://proportione.com/consultoria-estrategica-crecimiento-organico/reingenieria-de-procesos-de-negocio-un-enfoque-estrategico/,,,,,,,,,,,,,,Bajo,Bajo
FALSE,,https://proportione.com/consultoria-estrategica-crecimiento-organico/desarrollo-de-estrategia-tecnologica-una-guia-para-la-consultoria-de-gestion-de-negocio/,,,,,,,,,,,,,,Bajo,Bajo
FALSE,,https://proportione.com/consultoria-estrategica-crecimiento-organico/toma-de-decisiones-un-enfoque-estrategico/,,,,,,,,,,,,,,Bajo,Bajo
FALSE,,https://proportione.com/consultoria-estrategica-crecimiento-organico/organizacion-agile-un-enfoque-moderno-para-la-gestion-empresarial/,,,,,,,,,,,,,,Bajo,Bajo
FALSE,,https://proportione.com/transformacion-e-innovacion-una-guia-para-el-futuro/,,,,,,,,,,,,,,Bajo,Bajo
FALSE,,https://proportione.com/transformacion-e-innovacion-una-guia-para-el-futuro/estrategia-transformacion-digital/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/transformacion-e-innovacion-una-guia-para-el-futuro/estrategia-de-innovacion-una-guia-para-el-futuro/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/transformacion-e-innovacion-una-guia-para-el-futuro/innovacion-en-tecnologia/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/investigacion-tesis-universidade-de-aveiro/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/inteligencia-artificial-generativa/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/forensics/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/futuros-del-trabajo-navegando-era-ia/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/futuro-del-retail-tendencias-estrategias/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/futuro-del-retail-tendencias-estrategias/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/estrategia-omnicanal-el-camino-hacia-la-coherencia-en-el-comercio-minorista/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/marketplaces/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/contacto/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/blog/,,,,,,,,,,,,,,,
FALSE,,https://proportione.com/politica-privacidad/,,,,,Pasar a noindex,,,,,,,,,,
FALSE,,https://proportione.com/politica-cookies/,,,,,N/A,,,,,,,,,,